# LPA-View reference distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# saved: 2026-05-18 13:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size_um,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70
count_per_ml,12766.5,7957.4,5139.7,3533.6,2386.4,1636.8,1164.5,845.3,628.7,496.3,401.7,329,277.9,241.6,211.5,185.8,164,142.9,124.5,111.3,102.2,92.4,82.8,74.9,68.6,63.4,59.6,42,25.9,9.8,9.8,9.8
