# LPA-View reference distribution
# saved: 2026-05-06 13:58:44
size_um,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70
count_per_ml,10687.5,6959.2,4653.9,3265.2,2234.6,1532.2,1091,793.3,586.1,456.3,364.3,296.6,246.2,207.9,180.1,153.7,132.1,110.9,91.9,76.6,65.3,55.5,44.8,37.3,31.1,26.5,21.5,4.4,0.9,0.2,0.2,0.2
