# LPA-View reference distribution
# saved: 2026-06-05 11:46:56
size_um,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70
count_per_ml,10563.4,6899.8,4593.5,3202.3,2184.8,1501.7,1069.5,779,583.4,453.2,364.1,296.9,246.4,208.5,178.7,153.3,130.4,109.4,91.3,76.1,63.1,52.1,43,35.7,29.8,25.2,21.1,0,0,0
