,Machine,TestNumber,Type,DateTime,TestRef,ISO_Code,NAS_Class,AS4059,RH,Temperature,ISO4,ISO6,ISO14,Volume,TotalCount4,TotalCount6,TotalCount14,TotalCount21,TotalCount25,TotalCount38,TotalCount50,TotalCount68,Stage1Count4,Stage1Count6,Stage1Count14,Stage1Count21,Stage1Count25,Stage1Count38,Stage1Count50,Stage1Count68,Stage2Count4,Stage2Count6,Stage2Count14,Stage2Count21,Stage2Count25,Stage2Count38,Stage2Count50,Stage2Count68,Stage3Count4,Stage3Count6,Stage3Count14,Stage3Count21,Stage3Count25,Stage3Count38,Stage3Count50,Stage3Count68,Customer,Fluid,TankVolume,WorkingHours,Viscosity,Contamination,SampleMethodID,SampleDate,AnalysisRequestedCounting,AnalysisRequestedWater,AnalysisRequestedFilterability,AnalysisRequestedMembrane,AnalysisRequestedPhotography,AnalysisRequestedViscosity,AnalysisRequestedTAN,ResultWater,ResultFilterability,ResultViscosity,ResultViscosityTemp,ResultTAN,MembraneSize,MembraneVolume,MembranePoreSize,ContaminationLightMetal,ContaminationDarkMetal,ContaminationYellowMetal,ContaminationSilica,ContaminationRubberPlastic,ContaminationFibre,ContaminationOther,FilterabilityVolume,FilterabilityTime,FilterabilityArea,FilterabilityIndex,CountingNotes,CountingFailureID,ReferenceID,NASStage1Count5_15,NASStage1Count15_25,NASStage1Count25_50,NASStage1Count50_100,NASStage1Count100,NASStage2Count5_15,NASStage2Count15_25,NASStage2Count25_50,NASStage2Count50_100,NASStage2Count100,NASStage3Count5_15,NASStage3Count15_25,NASStage3Count25_50,NASStage3Count50_100,NASStage3Count100,NASTotalCount5_15,NASTotalCount15_25,NASTotalCount25_50,NASTotalCount50_100,NASTotalCount100,NAS_CLASS_5_15,NAS_CLASS_15_25,NAS_CLASS_25_50,NAS_CLASS_50_100,NAS_CLASS_100,AS4059_A,AS4059_B,AS4059_C,AS4059_D,AS4059_E,AS4059_F,AS4059E1_CLASS_6_14,AS4059E1_CLASS_14_21,AS4059E1_CLASS_21_38,AS4059E1_CLASS_38_70,AS4059E1_CLASS_70,AS4059E1_TotalCount6_14,AS4059E1_TotalCount14_21,AS4059E1_TotalCount21_38,AS4059E1_TotalCount38_70,AS4059E1_TotalCount70,AS4059E1_Stage1Count6_14,AS4059E1_Stage1Count14_21,AS4059E1_Stage1Count21_38,AS4059E1_Stage1Count38_70,AS4059E1_Stage1Count70,AS4059E1_Stage2Count6_14,AS4059E1_Stage2Count14_21,AS4059E1_Stage2Count21_38,AS4059E1_Stage2Count38_70,AS4059E1_Stage2Count70,AS4059E1_Stage3Count6_14,AS4059E1_Stage3Count14_21,AS4059E1_Stage3Count21_38,AS4059E1_Stage3Count38_70,AS4059E1_Stage3Count70,AS4059E1_CLASS1,AS4059E1_CLASS2,AS4059E1_CLASS3,AS4059E1_CLASS
,61110029,12,5,2024-11-07 14:33:41,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,156755,156755,156755,156755,156755,156755,156755,156755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,156755,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,156755,,,,,,,,,,,,,,,,0,0,0,15
,61110029,1,5,2024-11-07 14:17:56,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,156153,156153,156153,156153,156153,156153,156153,156153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,156153,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,156153,,,,,,,,,,,,,,,,0,0,0,15
,61110029,13,5,2024-11-07 14:35:06,Reference Counter, 18/18/18 ,15,8A/9B/12C/15D/15E/15F,,,18,18,18,,154495,154495,154495,154495,154495,154495,154495,154495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,154495,0,0,0,0,15,8,9,12,15,15,15,0,0,0,0,15,0,0,0,0,154495,,,,,,,,,,,,,,,,0,0,0,15
,61110029,14,5,2024-11-07 14:36:32,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,156602,156602,156602,156602,156602,156602,156602,156602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,156602,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,156602,,,,,,,,,,,,,,,,0,0,0,15
,61110029,15,5,2024-11-07 14:37:58,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,158538,158538,158538,158538,158538,158538,158538,158538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,158538,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,158538,,,,,,,,,,,,,,,,0,0,0,15
,61110029,16,5,2024-11-07 14:39:24,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,158715,158715,158715,158715,158715,158715,158715,158715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,158715,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,158715,,,,,,,,,,,,,,,,0,0,0,15
,61110029,17,5,2024-11-07 14:40:50,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,155939,155939,155939,155939,155939,155939,155939,155939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,155939,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,155939,,,,,,,,,,,,,,,,0,0,0,15
,61110029,18,5,2024-11-07 14:42:16,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,156271,156271,156271,156271,156271,156271,156271,156271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,156271,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,156271,,,,,,,,,,,,,,,,0,0,0,15
,61110029,19,5,2024-11-07 14:43:43,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,158392,158392,158392,158392,158392,158392,158392,158392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,158392,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,158392,,,,,,,,,,,,,,,,0,0,0,15
,61110029,20,5,2024-11-07 14:45:08,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,156875,156875,156875,156875,156875,156875,156875,156875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,156875,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,156875,,,,,,,,,,,,,,,,0,0,0,15
,61110029,21,5,2024-11-07 14:46:34,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,157333,157333,157333,157333,157333,157333,157333,157333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,157333,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,157333,,,,,,,,,,,,,,,,0,0,0,15
,61110029,22,5,2024-11-07 14:47:59,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,157121,157121,157121,157121,157121,157121,157121,157121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,157121,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,157121,,,,,,,,,,,,,,,,0,0,0,15
,61110029,23,5,2024-11-07 14:49:25,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,155731,155731,155731,155731,155731,155731,155731,155731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,155731,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,155731,,,,,,,,,,,,,,,,0,0,0,15
,61110029,24,5,2024-11-07 14:50:49,Reference Counter, 18/18/18 ,15,8A/9B/12C/15D/15E/15F,,,18,18,18,,153309,153309,153309,153309,153309,153309,153309,153309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,153309,0,0,0,0,15,8,9,12,15,15,15,0,0,0,0,15,0,0,0,0,153309,,,,,,,,,,,,,,,,0,0,0,15
,61110029,25,5,2024-11-07 14:52:14,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,158290,158290,158290,158290,158290,158290,158290,158290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,158290,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,158290,,,,,,,,,,,,,,,,0,0,0,15
,61110029,26,5,2024-11-07 14:53:40,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,157395,157395,157395,157395,157395,157395,157395,157395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,157395,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,157395,,,,,,,,,,,,,,,,0,0,0,15
,61110029,27,5,2024-11-07 14:55:07,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,158788,158788,158788,158788,158788,158788,158788,158788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,158788,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,158788,,,,,,,,,,,,,,,,0,0,0,15
