source_file,product,model_name,serial_number,option_bits,x_option_bits,test_reference,led_level,threshold0,threshold1,threshold2,threshold3,threshold4,threshold5,threshold6,threshold7,effective_slit_width,effective_slit_height,channel_width,divergence_milliradians,channel_depth,calibration_led_level_initial,calibration_led_level_last,calibration_led_level_alarm,calibration_date_last,calibration_date_next,result_format,test_mode,wait_time_s,test_number,CycleCount,last_download,time_stamp,source_drive,continous_mode_confirm_target_n,flush_time_s,test_sequence,sample_portions,pump_target_flow_ml_min,pump_flow_emptying_ml_min,sample_volume_ml,pump_flush_volume_ml,pump_flow_flushing_ml_min,cml4_online_flush_ml,cml4_online_flush_ml_min,cml4_online_sample_ml,cml4_online_sample_ml_min,cml4_offline_flush_ml,cml4_offline_flush_ml_min,cml4_offline_sample_ml,cml4_offline_sample_ml_min,cml4_pump_leakage_ml_min,threshold32_0_value,threshold32_1_value,threshold32_2_value,threshold32_3_value,threshold32_4_value,threshold32_5_value,threshold32_6_value,threshold32_7_value,threshold32_8_value,threshold32_9_value,threshold32_10_value,threshold32_11_value,threshold32_12_value,threshold32_13_value,threshold32_14_value,threshold32_15_value,threshold32_16_value,threshold32_17_value,threshold32_18_value,threshold32_19_value,threshold32_20_value,threshold32_21_value,threshold32_22_value,threshold32_23_value,threshold32_24_value,threshold32_25_value,threshold32_26_value,threshold32_27_value,threshold32_28_value,threshold32_29_value,threshold32_30_value,threshold32_31_value,threshold32_0_sz,threshold32_1_sz,threshold32_2_sz,threshold32_3_sz,threshold32_4_sz,threshold32_5_sz,threshold32_6_sz,threshold32_7_sz,threshold32_8_sz,threshold32_9_sz,threshold32_10_sz,threshold32_11_sz,threshold32_12_sz,threshold32_13_sz,threshold32_14_sz,threshold32_15_sz,threshold32_16_sz,threshold32_17_sz,threshold32_18_sz,threshold32_19_sz,threshold32_20_sz,threshold32_21_sz,threshold32_22_sz,threshold32_23_sz,threshold32_24_sz,threshold32_25_sz,threshold32_26_sz,threshold32_27_sz,threshold32_28_sz,threshold32_29_sz,threshold32_30_sz,threshold32_31_sz,verification_count_1_0,verification_count_1_1,verification_count_1_2,verification_count_1_3,verification_count_1_4,verification_count_1_5,verification_count_1_6,verification_count_1_7,verification_count_2_0,verification_count_2_1,verification_count_2_2,verification_count_2_3,verification_count_2_4,verification_count_2_5,verification_count_2_6,verification_count_2_7,verification_count_3_0,verification_count_3_1,verification_count_3_2,verification_count_3_3,verification_count_3_4,verification_count_3_5,verification_count_3_6,verification_count_3_7,reference_count_0,reference_count_1,reference_count_2,reference_count_3,reference_count_4,reference_count_5,reference_count_6,reference_count_7,verification_count32_1_0,verification_count32_1_1,verification_count32_1_2,verification_count32_1_3,verification_count32_1_4,verification_count32_1_5,verification_count32_1_6,verification_count32_1_7,verification_count32_1_8,verification_count32_1_9,verification_count32_1_10,verification_count32_1_11,verification_count32_1_12,verification_count32_1_13,verification_count32_1_14,verification_count32_1_15,verification_count32_1_16,verification_count32_1_17,verification_count32_1_18,verification_count32_1_19,verification_count32_1_20,verification_count32_1_21,verification_count32_1_22,verification_count32_1_23,verification_count32_1_24,verification_count32_1_25,verification_count32_1_26,verification_count32_1_27,verification_count32_1_28,verification_count32_1_29,verification_count32_1_30,verification_count32_1_31,verification_count32_2_0,verification_count32_2_1,verification_count32_2_2,verification_count32_2_3,verification_count32_2_4,verification_count32_2_5,verification_count32_2_6,verification_count32_2_7,verification_count32_2_8,verification_count32_2_9,verification_count32_2_10,verification_count32_2_11,verification_count32_2_12,verification_count32_2_13,verification_count32_2_14,verification_count32_2_15,verification_count32_2_16,verification_count32_2_17,verification_count32_2_18,verification_count32_2_19,verification_count32_2_20,verification_count32_2_21,verification_count32_2_22,verification_count32_2_23,verification_count32_2_24,verification_count32_2_25,verification_count32_2_26,verification_count32_2_27,verification_count32_2_28,verification_count32_2_29,verification_count32_2_30,verification_count32_2_31,verification_count32_3_0,verification_count32_3_1,verification_count32_3_2,verification_count32_3_3,verification_count32_3_4,verification_count32_3_5,verification_count32_3_6,verification_count32_3_7,verification_count32_3_8,verification_count32_3_9,verification_count32_3_10,verification_count32_3_11,verification_count32_3_12,verification_count32_3_13,verification_count32_3_14,verification_count32_3_15,verification_count32_3_16,verification_count32_3_17,verification_count32_3_18,verification_count32_3_19,verification_count32_3_20,verification_count32_3_21,verification_count32_3_22,verification_count32_3_23,verification_count32_3_24,verification_count32_3_25,verification_count32_3_26,verification_count32_3_27,verification_count32_3_28,verification_count32_3_29,verification_count32_3_30,verification_count32_3_31,reference_count32_0,reference_count32_1,reference_count32_2,reference_count32_3,reference_count32_4,reference_count32_5,reference_count32_6,reference_count32_7,reference_count32_8,reference_count32_9,reference_count32_10,reference_count32_11,reference_count32_12,reference_count32_13,reference_count32_14,reference_count32_15,reference_count32_16,reference_count32_17,reference_count32_18,reference_count32_19,reference_count32_20,reference_count32_21,reference_count32_22,reference_count32_23,reference_count32_24,reference_count32_25,reference_count32_26,reference_count32_27,reference_count32_28,reference_count32_29,reference_count32_30,reference_count32_31,pump_current_sampling,pump_current_emptying,no_noise_threshold,date_,serial_number_,meas_init_level,calc_init_volume,desired_concentration,calc_qty_add,meas_qty_add,meas_final_level,calc_volume,calc_concentration,rig_param_volume_mult,rig_param_volume_constant,rig_param_identifier,rig_cleanliness_count
63010055-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010055,1072,0,LPA3 NAVAIR #63010055 CALIBRATE,11566,74,174,1024,2182,3280,8748,13158,17878,60,300,750,200,500,11714,98.74,50,1779287177,1810823177,1,0,0,13,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,118,174,238,316,408,504,622,750,882,1024,1168,1318,1480,1622,1786,1972,2182,2442,2694,2962,3280,3602,3972,4324,4664,4908,8748,13158,17878,17878,17878,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1198608,514490,38207,10581,4796,484,124,41,1198925,516082,39367,11015,5179,461,112,53,1204344,516626,38947,11166,5181,496,112,47,1.22E+06,515433,39407.9,11030.1,5153.43,440.754,101.712,22.6027,11986.1,7715.23,5144.91,3548.11,2413,1648.37,1185.03,850.564,629.125,486.113,382.077,310.748,254.087,211.266,179.209,150.406,125.565,105.81,86.6474,72.0978,60.6236,47.9666,40.5143,33.5352,28.3896,24.0129,21.0556,4.84989,1.24204,0.414015,0.414015,0.414015,11989.3,7725.65,5160.82,3545.78,2429.54,1661.11,1209.89,872.505,651.304,500.289,393.68,317.344,259.93,215.465,183.713,156.928,131.739,110.157,90.2897,75.5666,62.9131,51.7968,43.5188,34.9451,28.7957,24.1246,21.6411,4.61205,1.12345,0.532159,0.532159,0.532159,12043.4,7732.45,5166.27,3556.87,2420.07,1651.82,1195.41,856.397,642.106,494.696,389.47,316.504,263.27,216.891,185.518,157.868,134.767,111.665,92.7591,76.9842,64.1633,51.8151,44.0163,36.1583,30.1319,25.4644,22.1558,4.96291,1.12256,0.472658,0.472658,0.472658,12208,7808.34,5154.33,3578.24,2439.74,1677.8,1206.53,865.911,646.664,497.825,394.079,319.829,263.322,215.743,184.325,156.524,131.322,110.301,91.0891,76.6233,63.5137,51.5343,42.7192,34.6952,28.5925,24.298,21.3596,4.40754,1.01712,0.226027,0.226027,0.226027,45,306,37,46162.6,63010055,0,0,16,0,0,0,0,16,-1,0,303,0
63010056-2026-05-21-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010056,1072,0,LPA3 NAVAIR #63010056 CALIBRATE,11604,68,168,992,2156,3170,11246,20092,31392,60,300,750,200,500,11813,98.23,50,1779359717,1810895717,1,0,0,10,0,2147483648,0,0,0,30,0,1,30,150,50,20,100,90,50,50,50,40,20,40,20,0,68,112,168,230,308,400,496,608,736,862,992,1130,1276,1414,1562,1726,1926,2156,2402,2636,2934,3170,3490,3814,4136,4516,5092,11246,20092,31392,31392,31392,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1439303,579736,45812,11832,5356,272,33,14,1450837,585085,46258,12051,5413,157,9,0,1445704,581994,46449,12018,5722,119,23,9,1.42E+06,580231,45814.7,11873.6,5545.63,184.087,34.5164,4.43293,14393,8865.8,5797.36,4022.38,2743.79,1887.9,1370.61,997.561,736.238,571.476,458.128,368.884,299.823,250.801,211.153,176.527,144.148,118.322,96.7048,80.2047,63.6568,53.5655,44.1915,37.0176,30.7045,25.6349,19.1305,2.7261,0.334784,0.143479,0.143479,0.143479,14508.4,8948.51,5850.86,4053.57,2762.48,1905.94,1372.29,1001.87,744.681,579.313,462.58,374.636,308.068,259.959,218.641,181.819,148.439,120.511,99.039,81.7275,64.3682,54.1343,43.1353,35.7229,29.0757,23.0501,17.5506,1.57812,0.0956436,0,0,0,14457,8900.95,5819.94,4048.67,2784.28,1915.7,1388.96,1013.05,750.397,581.818,464.499,372.191,303.748,255.78,215.115,180.082,146.958,120.182,99.2288,82.81,66.4866,57.2272,45.8199,37.2287,30.833,25.2964,18.1371,1.19323,0.238645,0.0954582,0.0954582,0.0954582,14152.7,8832.85,5802.31,4023.69,2753.25,1901.05,1368.92,999.364,742.562,575.733,458.147,369.9,302.133,252.775,213.541,178.795,146.579,118.736,96.7609,80.4231,65.1209,55.4563,45.1014,37.1626,31.1798,25.7722,19.6743,1.84087,0.345164,0.0443293,0.0443293,0.0443293,37,328,32,46163.5,63010056,0,0,16,0,0,0,0,16,-1,0,303,0
63010057-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010057,1072,0,LPA3 NAVAIR #63010057 CALIBRATE,13738,74,184,1020,2080,2938,8336,12002,16328,60,300,750,200,500,14045,97.81,50,1779290763,1810826763,1,0,0,7,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,122,184,254,340,436,536,652,776,892,1020,1150,1290,1426,1564,1702,1868,2080,2288,2494,2692,2938,3278,3578,3968,4184,4520,8336,12002,16328,16328,16328,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1271433,533019,40601,11595,6022,431,115,36,1275112,534253,41943,11533,5696,455,91,30,1278181,533405,41632,11823,5820,401,121,48,1.28E+06,528471,40866.8,11621.2,5776.63,373.782,101.941,33.9802,12714.3,8051.6,5330.19,3665.79,2466.47,1676.8,1200.72,862.224,642.414,507.684,406.013,332.662,272.742,229.108,194.954,167.911,143.056,115.952,96.748,82.649,70.9809,60.2244,48.7386,39.5621,31.7834,28.1371,23.0323,4.31477,1.15466,0.364628,0.364628,0.364628,12751.1,8076.14,5342.53,3682.35,2488.24,1711.86,1219.22,880.887,661.653,523.826,419.438,342.408,281.551,234.737,199.353,170.049,142.508,115.332,95.9984,81.2247,68.8221,56.9667,44.6858,37.9373,30.5201,27.1762,22.5557,4.55977,0.911954,0.303985,0.303985,0.303985,12781.8,8100.14,5334.06,3663.69,2485.2,1701.87,1218.7,877.241,649.035,517.659,416.329,339.145,279.479,237.329,201.261,172.979,143.602,118.239,97.3766,82.1102,70.3714,58.207,47.1373,39.4737,31.141,26.8835,22.8692,4.01427,1.21645,0.486579,0.486579,0.486579,12766.4,8065.88,5284.71,3655.93,2480.33,1699.92,1209.47,871.705,652.873,514.573,408.668,334.365,274.786,231.518,196.405,168.542,141.358,116.212,96.7303,81.0994,68.9798,57.7663,45.4202,37.3782,29.676,26.0515,21.0677,3.73782,1.01941,0.339802,0.339802,0.339802,22,257,39,46162.7,63010057,0,0,16,0,0,0,0,16,-1,0,303,0
63010058-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010058,1072,0,LPA3 NAVAIR #63010058 CALIBRATE,12999,74,192,1076,2194,3098,8716,12190,15984,60,300,750,200,500,13304,97.71,50,1779291174,1810827174,1,0,0,7,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,124,192,266,358,460,568,690,818,940,1076,1218,1368,1510,1660,1808,1980,2194,2420,2640,2858,3098,3472,3842,4252,4516,4918,8716,12190,15984,15984,15984,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1292710,526094,40462,11421,5992,340,121,42,1300181,531858,41286,11896,5996,424,139,60,1312552,533935,40697,11463,5783,321,91,30,1.28E+06,528471,40866.8,11621.2,5776.63,373.782,101.941,33.9802,12927.1,8103.39,5260.95,3657.88,2470.18,1700.95,1209.31,870.146,649.072,511.425,404.623,329.576,271.044,229.877,191.807,163.756,138.133,114.21,95.8733,81.2403,70.3718,59.9284,46.8741,36.4913,29.3874,25.6229,20.9476,3.40019,1.21435,0.425024,0.425024,0.425024,13001.8,8165.59,5318.59,3686.8,2499.69,1725.86,1223.23,880.716,657.35,517.322,412.862,333.834,271.377,231.984,197.873,168.677,143.185,118.966,99.7254,83.7621,71.1977,59.9688,46.8582,37.268,29.1953,25.25,19.0589,4.2488,1.39603,0.606971,0.606971,0.606971,13125.5,8212.7,5339.36,3703.81,2524.09,1732.32,1223.22,879.13,653.5,515.048,406.972,329.453,270.282,228.12,193.614,165.668,139.302,114.637,95.6223,80.9205,68.9525,57.8351,45.5026,35.9039,27.6418,24.3612,19.2581,3.21981,0.911267,0.303756,0.303756,0.303756,12766.4,8065.88,5284.71,3655.93,2480.33,1699.92,1209.47,871.705,652.873,514.573,408.668,334.365,274.786,231.518,196.405,168.542,141.358,116.212,96.7303,81.0994,68.9798,57.7663,45.4202,37.3782,29.676,26.0515,21.0677,3.73782,1.01941,0.339802,0.339802,0.339802,40,290,37,46162.7,63010058,0,0,16,0,0,0,0,16,-1,0,303,0
63010059-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010059,1072,0,LPA3 NAVAIR #63010059 CALIBRATE,12311,72,176,1002,2036,2900,8260,13176,16046,60,300,750,200,500,12507,98.43,50,1779284823,1810820823,1,0,0,6,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,72,116,176,238,318,410,508,618,742,872,1002,1134,1256,1396,1520,1662,1818,2036,2232,2466,2656,2900,3268,3660,4038,4530,4930,8260,13176,16046,16046,16046,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1177397,496450,37139,11505,5924,397,89,35,1183501,498600,38771,11971,6116,546,118,35,1182262,499865,39019,11519,5979,487,118,65,1.18E+06,501618,38258.4,10950.3,5531.48,394.301,78.8601,10.962,11774,7605.27,4964.51,3482.39,2361.8,1621.87,1157.39,834.918,615.087,466.495,371.391,304.011,257.469,216.922,188.961,163.315,140.696,115.051,98.6656,80.5591,69.5765,59.2469,45.7709,35.7974,29.0891,22.2027,18.7595,3.97749,0.890484,0.356194,0.356194,0.356194,11835,7612.21,4986.01,3511.14,2391.34,1639.95,1175.15,848.48,628.699,484.574,387.719,316.814,268.06,228.035,199.055,169.779,145.788,119.718,99.3496,82.247,71.5578,61.1656,48.1605,37.5901,30.7016,24.0506,19.478,5.46334,1.18768,0.356305,0.356305,0.356305,11822.6,7663.98,4998.65,3510.28,2387.41,1638.43,1171.66,848.817,628.074,484.741,390.196,314.454,265.307,222.111,193.551,166.3,144.167,115.191,97.4598,82.2875,72.2916,59.7968,47.5994,37.068,30.2851,23.7997,19.9323,4.87894,1.18999,0.654492,0.654492,0.654492,11813.2,7564.6,5016.18,3528.2,2407.15,1633.19,1169.05,840.311,619.052,479.132,382.584,309.808,260.464,220.696,186.786,160.762,135.639,109.503,92.6043,77.8462,66.0172,55.3148,44.1617,37.2896,30.3048,25.4606,21.0669,3.94301,0.788601,0.10962,0.10962,0.10962,27,312,30,46162.6,63010059,0,0,16,0,0,0,0,16,-1,0,303,0
63010060-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010060,1072,0,LPA3 NAVAIR #63010060 CALIBRATE,8137,58,134,812,1798,2726,8428,14338,31204,60,300,750,200,500,8255,98.57,50,1779281545,1810817545,1,0,0,15,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,58,90,134,182,246,316,396,484,594,704,812,936,1050,1170,1304,1426,1600,1798,2038,2250,2508,2726,2976,3296,3686,4030,4408,8428,14338,31204,31204,31204,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1107725,487502,37954,11379,5524,405,68,5,1105326,485547,38308,11141,5527,541,136,11,1114791,488432,38293,11582,5742,479,91,5,1.11E+06,480388,37717.8,11138.5,5496.74,460.139,88.4012,18.1336,11077.3,7341.33,4875.03,3404.25,2287,1591.36,1129.52,825.126,605.819,469.087,379.55,308.331,262.278,222.103,189.575,164.751,135.933,113.791,92.1055,77.7247,63.7434,55.2405,47.0229,39.433,32.6421,26.4218,21.3429,4.05173,0.684799,0.0570666,0.0570666,0.0570666,11053.3,7313.98,4855.47,3389.03,2284.18,1585.32,1121.77,826.684,607.333,473.58,383.081,311.275,260.212,220.149,187.323,163.103,135.52,111.414,91.7525,77.3342,63.9988,55.2795,45.9902,38.0117,31.0591,26.101,21.8268,5.41397,1.36774,0.113978,0.113978,0.113978,11147.9,7371.52,4884.33,3406.18,2284.85,1583.42,1131.59,828.606,609.679,472.642,382.938,310,259.873,219.612,187.392,164.41,138.405,115.822,94.4942,79.7241,67.4633,57.4265,48.7583,41.0596,32.6196,28.0004,23.2101,4.79029,0.912436,0.0570273,0.0570273,0.0570273,11100.4,7198.17,4803.88,3362.53,2300.47,1582.04,1129,822.29,608.223,473.445,377.178,306.185,254.187,213.931,183.194,157.739,134.211,111.385,92.6172,77.113,65.6209,54.9674,44.6313,36.5392,29.6484,24.5483,21.0803,4.60139,0.884012,0.181336,0.181336,0.181336,35,298,39,46162.6,63010060,0,0,16,0,0,0,0,16,-1,0,303,0
63010061-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010061,1072,0,LPA3 NAVAIR #63010061 CALIBRATE,11127,70,172,978,1980,2906,7688,12712,25992,60,300,750,200,500,11124,100.03,50,1779281543,1810817543,1,0,0,9,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,70,114,172,234,312,402,498,604,734,858,978,1114,1240,1364,1496,1622,1800,1980,2232,2442,2686,2906,3120,3394,3744,4016,4346,7688,12712,25992,25992,25992,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1144076,489012,38294,11542,5747,492,64,5,1138657,487740,38281,11418,5545,514,64,0,1139267,488615,38570,11152,5392,455,64,5,1.11E+06,480388,37717.8,11138.5,5496.74,460.139,88.4012,18.1336,11440.8,7383.61,4890.13,3427.59,2339.51,1607.02,1149.43,844.404,615.433,476.984,382.947,308.478,256.098,220.124,189.774,164.639,137.98,115.423,92.6899,79.5071,66.7344,57.4771,48.6886,41.7749,33.3379,28.6507,24.1978,4.92159,0.644494,0.0585903,0.0585903,0.0585903,11386.6,7347.4,4877.4,3416.1,2324.39,1601.23,1154.71,843.261,612.6,474.718,382.817,310.278,258.916,219.429,185.675,162.744,135.951,114.19,92.1942,77.9205,64.1148,55.4569,48.6711,40.1887,31.9989,27.319,22.7561,5.1479,0.643488,0,0,0,11392.7,7352.63,4886.15,3419.97,2321.92,1604.85,1151.68,840.796,612.432,479.429,385.703,311.177,255.676,218.909,187.336,161.249,132.711,111.526,90.6334,76.627,64.0795,53.9249,46.2797,39.2764,32.3899,28.188,23.3441,4.5521,0.641963,0.0583602,0.0583602,0.0583602,11100.4,7198.17,4803.88,3362.53,2300.47,1582.04,1129,822.29,608.223,473.445,377.178,306.185,254.187,213.931,183.194,157.739,134.211,111.385,92.6172,77.113,65.6209,54.9674,44.6313,36.5392,29.6484,24.5483,21.0803,4.60139,0.884012,0.181336,0.181336,0.181336,32,298,34,46162.6,63010061,0,0,16,0,0,0,0,16,-1,0,303,0
63010062-2026-05-21-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010062,1072,0,LPA3 NAVAIR #63010062 CALIBRATE,10865,76,180,1020,2204,3244,11420,18008,30374,60,300,750,200,500,11060,98.24,50,1779359702,1810895702,1,0,0,8,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,76,122,180,244,322,416,516,630,758,888,1020,1160,1304,1448,1594,1760,1964,2204,2458,2698,3006,3244,3572,3932,4228,4602,5124,11420,18008,30374,30374,30374,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1443077,588111,47076,12122,5515,143,23,11,1424740,580711,45733,12357,5636,179,23,5,1420326,578927,46206,12094,5600,185,59,0,1.42E+06,580231,45814.7,11873.6,5545.63,184.087,34.5164,4.43293,14430.8,8992.42,5881.12,4058.54,2792.29,1913.65,1375.67,1007.85,752.077,589.359,470.767,382.573,311.047,258.706,220.575,182.863,148.149,121.229,98.2664,82.4982,66.1305,55.1587,44.8464,36.9923,31.4165,25.2411,20.025,1.43892,0.23982,0.11991,0.11991,0.11991,14247.4,8850.12,5807.12,4002.89,2752.01,1886.53,1357.62,989.296,741.493,574.853,457.331,371.555,309.38,257.387,218.632,184.789,154.72,123.572,99.9719,82.8407,66.608,56.3652,44.8047,36.4787,30.309,24.379,17.9099,1.79698,0.239597,0.0598993,0.0598993,0.0598993,14203.3,8858.55,5789.27,3994.97,2748.6,1891.68,1354,996.689,742.39,576.595,462.067,374.883,308.505,261.494,218.681,186.122,151.284,120.943,99.5369,84.0068,65.6584,56.0045,46.0508,37.7761,32.3795,26.2634,19.7275,1.85882,0.59962,0,0,0,14152.7,8832.85,5802.31,4023.69,2753.25,1901.05,1368.92,999.364,742.562,575.733,458.147,369.9,302.133,252.775,213.541,178.795,146.579,118.736,96.7609,80.4231,65.1209,55.4563,45.1014,37.1626,31.1798,25.7722,19.6743,1.84087,0.345164,0.0443293,0.0443293,0.0443293,17,253,34,46163.5,63010062,0,0,16,0,0,0,0,16,-1,0,303,0
63010063-2026-05-22-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010063,1072,0,LPA3 NAVAIR #63010063 CALIBRATE,10850,72,174,1000,2122,3042,9018,15954,24004,60,300,750,200,500,1974,-97.55,50,1779443292,1810979292,1,0,0,9,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,72,116,174,236,314,404,502,612,740,868,1000,1136,1282,1414,1556,1728,1900,2122,2336,2578,2816,3042,3354,3698,4102,4466,4992,9018,15954,24004,24004,24004,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1083253,457072,36217,10908,5622,401,40,17,1091030,459159,35445,10488,5453,401,58,5,1088871,460200,36201,10714,5560,425,64,5,1.09E+06,459103,36722.2,10859.7,5699.14,432.73,82.8632,13.8105,10832.5,6941.28,4570.73,3192.75,2161.35,1483.8,1059.92,779.648,575.568,451.001,362.175,296.166,246.456,208.62,179.632,150.935,129.689,109.083,92.843,76.4281,63.7386,56.2297,46.4506,37.4282,29.7447,24.5641,19.6746,4.0164,0.407461,0.174626,0.174626,0.174626,10910.3,6988.79,4591.6,3205.33,2173.11,1494.7,1064.76,767.808,568.639,441.525,354.454,290.256,239.853,205.571,175.888,148.999,127.871,104.881,90.4468,76.0707,63.9064,54.5358,44.7578,36.1438,29.7415,24.2705,18.6248,4.01598,0.582026,0.0582025,0.0582025,0.0582025,10888.7,6972.54,4602.01,3201.76,2176.1,1498.72,1068.28,780.045,582.472,452.852,362.014,294.7,242.468,208.521,180.337,152.038,129.969,107.143,91.1295,75.8733,64.7514,55.6094,46.7002,37.9658,31.0364,25.7375,20.1475,4.25077,0.640527,0.0582297,0.0582297,0.0582297,10861.2,6936.89,4591.03,3192.76,2177.87,1499.27,1073.77,786.924,584.692,456.898,367.222,300.195,248.083,210.703,180.734,152.514,130.832,108.597,92.4385,77.2929,66.1064,56.9914,47.0479,38.2552,30.9816,25.5034,20.4396,4.3273,0.828632,0.138105,0.138105,0.138105,37,280,35,46164.4,63010063,0,0,16,0,0,0,0,16,-1,0,303,0
63010064-2026-05-21-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010064,1072,0,LPA3 NAVAIR #63010064 CALIBRATE,12114,68,170,998,2204,3288,12406,17410,29200,60,300,750,200,500,12328,98.26,50,1779359701,1810895701,1,0,0,8,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,68,112,170,232,310,402,500,610,736,866,998,1138,1292,1440,1586,1758,1964,2204,2476,2730,3036,3288,3622,3982,4338,4736,5280,12406,17410,29200,29200,29200,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1414027,572829,46964,12404,5775,201,54,0,1433146,582996,46839,12452,5869,176,54,18,1428440,581116,47798,12394,5776,152,67,6,1.42E+06,580231,45814.7,11873.6,5545.63,184.087,34.5164,4.43293,14140.3,8830.21,5728.29,4007.55,2741.99,1896.01,1365.14,1001.19,752.917,586.673,469.643,384.264,313.034,261.136,220.155,183.442,150.327,124.043,99.8319,83.1221,67.51,57.7525,46.7143,38.5423,31.4681,26.8333,20.9177,2.01249,0.548862,0,0,0,14331.5,8952.57,5829.96,4065.92,2788.02,1926.52,1385.4,1020,761.311,588.463,468.391,379.923,311.773,259.79,220.01,184.44,151.859,124.526,101.89,84.9901,68.7608,58.6938,46.4913,37.4615,30.9942,25.9302,19.707,1.76935,0.54911,0.183037,0.183037,0.183037,14284.4,8928.35,5811.16,4066.25,2799.02,1931.56,1400.94,1027.15,766.38,592.047,477.981,384.654,314.262,262.963,223.985,186.715,151.824,123.948,99.3048,82.2864,66.8539,57.7652,46.6635,37.5748,30.987,25.7412,20.0074,1.52495,0.670979,0.0609981,0.0609981,0.0609981,14152.7,8832.85,5802.31,4023.69,2753.25,1901.05,1368.92,999.364,742.562,575.733,458.147,369.9,302.133,252.775,213.541,178.795,146.579,118.736,96.7609,80.4231,65.1209,55.4563,45.1014,37.1626,31.1798,25.7722,19.6743,1.84087,0.345164,0.0443293,0.0443293,0.0443293,23,275,30,46163.5,63010064,0,0,16,0,0,0,0,16,-1,0,303,0
